
2025-07-24 02:05:02,458 - Step 540, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=12,415,219.93
2025-07-24 02:05:40,756 - Step 600, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=8,476,901.08
2025-07-24 02:06:41,114 - Step 60, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=15,928,595.03
2025-07-24 02:09:04,067 - Step 60, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=8,747,390.17
2025-07-24 02:09:41,902 - Step 120, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=15,634,159.21
2025-07-24 02:10:19,755 - Step 180, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=12,326,955.22
2025-07-24 02:10:57,768 - Step 240, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=9,217,382.44
2025-07-24 02:11:36,255 - Step 300, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=10,319,367.77
2025-07-24 02:12:14,207 - Step 360, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=21,891,161.37
2025-07-24 02:12:52,091 - Step 420, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=17,780,893.31
2025-07-24 02:13:29,997 - Step 480, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=17,611,814.60
2025-07-24 02:14:07,903 - Step 540, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=15,091,984.74
2025-07-24 02:14:45,874 - Step 600, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=14,906,451.06
2025-07-24 02:15:23,771 - Step 660, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=18,735,003.31
2025-07-24 02:16:02,203 - Step 720, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=13,339,360.72
2025-07-24 02:16:40,866 - Step 780, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=10,131,508.95
2025-07-24 02:17:20,263 - Step 840, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=27,293,494.33
2025-07-24 02:17:59,514 - Step 900, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=5,579,468.06
2025-07-24 02:18:38,903 - Step 960, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=24,102,271.02
2025-07-24 02:19:18,527 - Step 1020, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=7,787,426.42
2025-07-24 02:19:57,549 - Step 1080, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=13,129,742.01
2025-07-24 02:20:36,568 - Step 1140, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=6,769,066.72
2025-07-24 02:21:15,314 - Step 1200, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=4,711,068.23
2025-07-24 02:21:53,708 - Step 1260, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=5,496,885.18
2025-07-24 02:22:31,027 - Step 1320, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=17,540,046.39
2025-07-24 02:23:07,402 - Step 1380, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=3,988,551.44
2025-07-24 02:23:44,710 - Step 1440, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=1,644,342.51
2025-07-24 02:24:22,051 - Step 1500, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=5,422,217.72
2025-07-24 02:25:00,800 - Step 1560, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=11,363,310.91
2025-07-24 02:25:38,875 - Step 1620, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=9,330,492.63
2025-07-24 02:26:17,338 - Step 1680, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=11,100,668.93
2025-07-24 02:26:56,316 - Step 1740, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=13,049,700.92
2025-07-24 02:27:35,260 - Step 1800, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=2,932,144.42
2025-07-24 02:28:14,460 - Step 1860, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=8,240,280.98
2025-07-24 02:28:54,096 - Step 1920, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=5,920,249.98
2025-07-24 02:29:34,045 - Step 1980, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=3,715,584.51
2025-07-24 02:30:14,172 - Step 2040, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=4,263,566.19
2025-07-24 02:30:54,597 - Step 2100, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=5,825,377.42
2025-07-24 02:31:35,760 - Step 2160, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=12,666,755.46
2025-07-24 02:32:17,286 - Step 2220, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=19,658,142.86
2025-07-24 02:32:59,042 - Step 2280, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=3,991,822.97
